Sample	Strain	Treatment	Time
H2	C57	Control	1mo
H3	C57	Control	1mo
H4	C57	Control	1mo
H7	C57	Control	2mo
H8	C57	Control	2mo
H9	C57	Control	2mo
H11	C57	Control	4mo
H12	C57	Control	4mo
H13	C57	Control	4mo
H16	C57	Control	9mo
H17	C57	Control	9mo
H18	C57	Control	9mo
H21	C57	Control	12mo
H22	C57	Control	12mo
H23	C57	Control	12mo
K2	C57	Fe	1mo
K3	C57	Fe	1mo
K4	C57	Fe	1mo
K6	C57	Fe	2mo
K7	C57	Fe	2mo
K8	C57	Fe	2mo
K12	C57	Fe	4mo
K13	C57	Fe	4mo
K14	C57	Fe	4mo
K16	C57	Fe	9mo
K17	C57	Fe	9mo
K18	C57	Fe	9mo
K23	C57	Fe	12mo
K24	C57	Fe	12mo
K25	C57	Fe	12mo
