Ensemble Gene ID	H21	H22	H23	K23	K24	K25
ENSMUSG00000102693	8	53	2	2	36	100
ENSMUSG00000064842	31	56	31	9	75	30
ENSMUSG00000051951	34	56	6	30	41	25
ENSMUSG00000102851	78	72	98	27	1	20
ENSMUSG00000103377	39	9	19	14	18	43
ENSMUSG00000104017	36	16	28	69	9	86
ENSMUSG00000103025	67	44	3	52	81	67
ENSMUSG00000089699	73	54	43	68	52	91
ENSMUSG00000103201	48	37	66	27	25	17
ENSMUSG00000103147	85	5	9	82	45	33
ENSMUSG00000103161	89	38	60	20	73	10
ENSMUSG00000102331	44	42	0	96	99	21
ENSMUSG00000102348	59	2	51	22	86	72
ENSMUSG00000102592	76	23	26	13	41	9
ENSMUSG00000088333	81	28	54	57	31	12
ENSMUSG00000102343	96	56	92	61	21	28
ENSMUSG00000025900	71	23	55	91	54	17
ENSMUSG00000102948	11	44	27	86	80	27
ENSMUSG00000104123	56	4	22	20	13	49
ENSMUSG00000025902	10	5	11	89	44	32
ENSMUSG00000104238	53	94	83	4	74	12
ENSMUSG00000102269	80	98	29	90	54	78
ENSMUSG00000096126	28	97	1	77	16	83
ENSMUSG00000103003	93	5	40	51	57	73
ENSMUSG00000104328	89	43	30	68	5	68
ENSMUSG00000102735	3	7	90	27	74	68
ENSMUSG00000098104	60	96	59	5	78	27
ENSMUSG00000102175	25	17	37	26	46	44
ENSMUSG00000088000	32	25	2	62	63	1
ENSMUSG00000103265	21	7	43	37	87	5
ENSMUSG00000103922	15	19	5	57	45	57
ENSMUSG00000033845	68	100	74	35	22	17
ENSMUSG00000102275	5	42	84	83	55	78
ENSMUSG00000025903	65	76	5	86	83	83
ENSMUSG00000104217	52	45	28	0	37	58
ENSMUSG00000033813	99	4	48	58	71	62
ENSMUSG00000062588	79	47	50	14	95	47
ENSMUSG00000103280	8	87	18	20	59	68
ENSMUSG00000002459	23	68	92	54	8	45
ENSMUSG00000091305	46	44	57	76	85	36
ENSMUSG00000102653	69	52	95	31	40	49
ENSMUSG00000085623	98	66	45	83	79	87
ENSMUSG00000091665	16	82	40	23	2	32
ENSMUSG00000033793	96	19	52	33	23	63
ENSMUSG00000104352	30	47	34	13	81	24
ENSMUSG00000104046	75	2	35	4	35	89
ENSMUSG00000102907	65	79	86	70	55	5
ENSMUSG00000025905	56	87	54	89	0	83
ENSMUSG00000103936	2	80	98	40	100	36
ENSMUSG00000093015	43	76	6	27	43	43
ENSMUSG00000103519	49	21	53	5	85	98
ENSMUSG00000033774	20	97	13	34	45	23
ENSMUSG00000103090	79	77	5	20	48	57
ENSMUSG00000025907	14	64	26	29	20	78
ENSMUSG00000090031	25	47	75	52	25	73
ENSMUSG00000087247	68	100	73	79	54	97
ENSMUSG00000103355	97	81	3	100	60	28
ENSMUSG00000102706	47	46	64	50	95	56
ENSMUSG00000103845	64	8	3	67	22	71
ENSMUSG00000033740	76	4	3	99	30	53
ENSMUSG00000103329	35	48	65	52	14	87
ENSMUSG00000104385	55	14	46	43	8	66
ENSMUSG00000102135	44	19	12	85	37	100
ENSMUSG00000103282	3	96	57	38	28	52
ENSMUSG00000102534	52	95	30	75	7	91
ENSMUSG00000102213	88	76	12	95	90	4
ENSMUSG00000103629	69	0	95	63	39	41
ENSMUSG00000051285	28	13	96	68	4	34
ENSMUSG00000098201	85	0	27	76	60	30
ENSMUSG00000103509	89	55	83	46	0	47
ENSMUSG00000048538	59	18	95	83	5	31
ENSMUSG00000103709	6	39	67	17	96	21
ENSMUSG00000077244	49	26	66	42	85	39
ENSMUSG00000102768	46	88	32	60	55	46
ENSMUSG00000097797	16	34	24	5	37	62
ENSMUSG00000103498	66	73	78	1	65	86
ENSMUSG00000103067	52	52	78	77	50	2
ENSMUSG00000102320	55	27	15	51	50	96
ENSMUSG00000104226	40	25	78	75	12	51
ENSMUSG00000103903	74	46	34	25	54	15
ENSMUSG00000103557	43	8	43	46	35	64
ENSMUSG00000025909	88	79	18	55	32	31
ENSMUSG00000102647	74	34	33	20	51	15
