Ensemble Gene ID	H2	H3	H4	K2	K3	K4
ENSMUSG00000102693	97	47	22	52	68	34
ENSMUSG00000064842	32	94	100	13	55	34
ENSMUSG00000051951	46	68	38	29	52	9
ENSMUSG00000102851	11	86	79	14	31	43
ENSMUSG00000103377	23	31	93	43	79	83
ENSMUSG00000104017	20	33	57	7	2	28
ENSMUSG00000103025	65	17	9	26	17	70
ENSMUSG00000089699	35	75	85	51	47	69
ENSMUSG00000103201	44	50	56	88	51	41
ENSMUSG00000103147	6	32	36	13	28	0
ENSMUSG00000103161	28	11	10	6	57	58
ENSMUSG00000102331	90	34	16	5	53	14
ENSMUSG00000102348	37	57	61	31	88	50
ENSMUSG00000102592	1	51	39	7	78	13
ENSMUSG00000088333	66	50	98	100	49	52
ENSMUSG00000102343	0	25	84	68	14	52
ENSMUSG00000025900	48	38	6	86	100	19
ENSMUSG00000102948	52	31	14	83	9	43
ENSMUSG00000104123	63	94	78	61	40	8
ENSMUSG00000025902	24	49	50	19	68	67
ENSMUSG00000104238	2	63	79	40	89	18
ENSMUSG00000102269	41	73	31	71	16	46
ENSMUSG00000096126	39	84	69	42	54	32
ENSMUSG00000103003	97	51	19	52	49	29
ENSMUSG00000104328	24	28	90	63	33	49
ENSMUSG00000102735	52	81	29	46	66	61
ENSMUSG00000098104	76	80	65	95	83	87
ENSMUSG00000102175	64	27	96	1	79	48
ENSMUSG00000088000	11	32	0	55	28	31
ENSMUSG00000103265	48	100	9	26	31	100
ENSMUSG00000103922	36	46	51	22	51	56
ENSMUSG00000033845	70	1	58	54	48	18
ENSMUSG00000102275	67	47	73	62	43	57
ENSMUSG00000025903	61	99	90	94	68	88
ENSMUSG00000104217	99	6	28	69	7	91
ENSMUSG00000033813	25	57	36	59	4	28
ENSMUSG00000062588	86	61	76	73	11	6
ENSMUSG00000103280	2	90	79	51	55	83
ENSMUSG00000002459	90	61	8	93	68	83
ENSMUSG00000091305	0	70	60	25	36	21
ENSMUSG00000102653	17	52	78	93	87	91
ENSMUSG00000085623	63	37	53	22	60	66
ENSMUSG00000091665	37	88	80	73	46	63
ENSMUSG00000033793	44	42	11	77	68	52
ENSMUSG00000104352	35	27	74	62	23	70
ENSMUSG00000104046	14	9	47	65	91	17
ENSMUSG00000102907	26	56	51	10	18	28
ENSMUSG00000025905	79	87	71	1	27	4
ENSMUSG00000103936	16	20	72	98	5	71
ENSMUSG00000093015	9	12	18	6	92	30
ENSMUSG00000103519	23	15	48	9	28	40
ENSMUSG00000033774	67	85	24	51	27	15
ENSMUSG00000103090	57	49	49	82	62	31
ENSMUSG00000025907	81	11	79	74	30	69
ENSMUSG00000090031	4	29	95	35	99	84
ENSMUSG00000087247	5	28	30	63	74	58
ENSMUSG00000103355	83	78	78	61	0	6
ENSMUSG00000102706	86	42	94	11	7	59
ENSMUSG00000103845	53	27	45	89	54	36
ENSMUSG00000033740	63	37	68	67	40	98
ENSMUSG00000103329	81	9	73	68	84	96
ENSMUSG00000104385	25	62	77	37	89	11
ENSMUSG00000102135	23	46	88	65	50	88
ENSMUSG00000103282	83	61	43	46	11	81
ENSMUSG00000102534	38	23	20	67	68	51
ENSMUSG00000102213	24	77	76	76	47	88
ENSMUSG00000103629	68	68	7	86	59	88
ENSMUSG00000051285	18	88	86	80	56	44
ENSMUSG00000098201	3	55	69	56	83	100
ENSMUSG00000103509	55	3	7	57	42	100
ENSMUSG00000048538	36	83	52	50	78	44
ENSMUSG00000103709	43	58	78	76	5	18
ENSMUSG00000077244	14	49	52	82	41	88
ENSMUSG00000102768	42	96	97	14	16	0
ENSMUSG00000097797	81	32	33	22	39	68
ENSMUSG00000103498	0	86	20	50	77	30
ENSMUSG00000103067	67	65	71	24	24	4
ENSMUSG00000102320	15	19	93	25	27	28
ENSMUSG00000104226	88	57	46	55	42	45
ENSMUSG00000103903	69	62	45	45	37	50
ENSMUSG00000103557	78	92	15	36	16	33
ENSMUSG00000025909	3	4	72	87	35	28
ENSMUSG00000102647	92	61	36	78	32	98
ENSMUSG00000086235	5	51	31	46	35	6
ENSMUSG00000102253	85	44	6	9	80	98
ENSMUSG00000093970	82	51	34	75	12	80
ENSMUSG00000103884	17	62	46	78	49	46
ENSMUSG00000084353	6	61	55	86	6	39
ENSMUSG00000103933	21	68	95	96	24	81
ENSMUSG00000076135	97	39	63	15	75	88
ENSMUSG00000086195	32	80	76	47	3	1
ENSMUSG00000104504	73	40	83	51	100	36
ENSMUSG00000066693	18	90	70	38	26	92
ENSMUSG00000102316	9	33	1	90	89	61
ENSMUSG00000103819	10	66	90	23	80	87
ENSMUSG00000102871	55	47	53	57	19	73
ENSMUSG00000101571	9	36	29	39	6	61
ENSMUSG00000104428	96	6	49	38	70	83
ENSMUSG00000102272	72	88	94	12	23	91
ENSMUSG00000065625	49	97	88	48	69	4
ENSMUSG00000103411	73	55	79	34	45	20
ENSMUSG00000061024	56	63	87	67	53	42
ENSMUSG00000025911	65	4	91	66	90	51
ENSMUSG00000079671	74	57	28	83	0	92
ENSMUSG00000081441	93	28	81	64	75	15
ENSMUSG00000067879	75	18	49	86	19	3
ENSMUSG00000099827	97	79	31	87	48	75
ENSMUSG00000025912	24	85	41	40	10	76
ENSMUSG00000045210	59	43	3	43	87	46
ENSMUSG00000097893	5	61	45	53	100	34
ENSMUSG00000025915	96	22	18	49	57	2
ENSMUSG00000046334	70	63	7	69	71	28
ENSMUSG00000088916	60	75	84	90	46	57
ENSMUSG00000046101	73	78	41	29	39	30
ENSMUSG00000098234	23	31	76	9	42	77
ENSMUSG00000093178	52	50	54	97	100	18
ENSMUSG00000099032	3	88	91	69	86	10
ENSMUSG00000104025	99	27	71	12	50	79
ENSMUSG00000025916	12	29	70	41	25	65
ENSMUSG00000087199	83	41	100	48	55	92
ENSMUSG00000095780	26	74	52	76	22	1
ENSMUSG00000025917	43	71	98	36	38	11
ENSMUSG00000056763	97	57	0	87	69	19
ENSMUSG00000102356	30	36	37	43	28	35
ENSMUSG00000067851	69	53	76	38	60	52
ENSMUSG00000088153	19	96	16	76	92	20
ENSMUSG00000102556	8	84	42	82	24	22
ENSMUSG00000042501	39	41	34	42	63	31
ENSMUSG00000103810	58	16	100	39	56	49
ENSMUSG00000083422	18	33	75	87	50	17
ENSMUSG00000094979	34	35	37	9	3	56
ENSMUSG00000081417	54	62	68	73	19	99
ENSMUSG00000103448	9	44	16	21	11	84
ENSMUSG00000100212	31	18	22	83	79	55
ENSMUSG00000100648	99	86	16	99	89	77
ENSMUSG00000088585	25	98	50	58	4	65
ENSMUSG00000048960	56	72	23	18	7	30
ENSMUSG00000077318	88	31	48	34	21	67
ENSMUSG00000101827	92	94	43	81	52	66
ENSMUSG00000103494	27	98	17	45	41	71
ENSMUSG00000057715	64	66	86	90	5	97
ENSMUSG00000103825	100	43	64	53	88	79
ENSMUSG00000099845	65	63	76	0	1	100
ENSMUSG00000103561	51	97	53	52	63	27
ENSMUSG00000101610	70	11	4	73	27	74
ENSMUSG00000093864	72	5	65	79	27	53
ENSMUSG00000098555	61	52	59	99	78	2
ENSMUSG00000097628	100	71	85	34	97	21
ENSMUSG00000098163	11	91	50	26	98	9
ENSMUSG00000097171	70	51	98	43	93	63
ENSMUSG00000101314	23	59	21	46	42	29
ENSMUSG00000016918	53	86	78	91	85	90
ENSMUSG00000025938	49	21	44	39	67	41
ENSMUSG00000104518	12	93	10	65	44	55
ENSMUSG00000069620	64	4	2	1	50	11
ENSMUSG00000099498	77	54	78	78	4	86
ENSMUSG00000042414	25	99	48	18	36	72
ENSMUSG00000005886	70	65	88	67	57	56
ENSMUSG00000103506	91	46	6	45	11	6
ENSMUSG00000103495	50	68	90	68	26	87
ENSMUSG00000099183	88	62	46	7	74	46
ENSMUSG00000102639	40	36	30	37	36	46
ENSMUSG00000104170	72	67	36	21	8	16
ENSMUSG00000087782	50	89	0	0	99	60
ENSMUSG00000103085	73	38	27	62	18	71
ENSMUSG00000102664	83	39	69	3	74	39
ENSMUSG00000101476	80	2	95	77	68	55
ENSMUSG00000101171	45	25	96	40	20	43
ENSMUSG00000025935	42	93	87	72	16	99
ENSMUSG00000025937	76	82	47	30	6	45
ENSMUSG00000102982	40	33	50	7	22	92
ENSMUSG00000067813	26	18	19	7	64	99
ENSMUSG00000077368	81	30	13	92	41	90
ENSMUSG00000097711	59	94	68	94	45	69
ENSMUSG00000102166	29	17	99	68	73	51
ENSMUSG00000089358	3	33	74	29	35	94
ENSMUSG00000104209	1	80	44	77	78	47
ENSMUSG00000025932	0	49	82	68	14	55
ENSMUSG00000095853	80	39	50	16	83	45
ENSMUSG00000102588	34	59	23	19	44	56
ENSMUSG00000054493	71	24	13	67	54	63
ENSMUSG00000025930	100	10	16	18	94	32
ENSMUSG00000103492	84	71	42	25	12	42
ENSMUSG00000081201	55	8	48	9	62	23
ENSMUSG00000082193	81	20	20	29	4	10
ENSMUSG00000032769	23	25	88	71	47	33
ENSMUSG00000088159	61	98	38	34	2	54
ENSMUSG00000073737	88	71	30	85	89	30
ENSMUSG00000092083	69	98	10	53	77	2
ENSMUSG00000102937	38	55	45	35	12	16
ENSMUSG00000104149	3	28	24	73	34	85
ENSMUSG00000088829	80	7	72	98	55	96
ENSMUSG00000077377	73	50	5	55	78	59
ENSMUSG00000101652	12	88	46	52	43	67
